WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q24,Q25,Q26,Q27,Q28,Q29_1,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q31_NPS_GROUP,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q17,Q9 - Parent Topics
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2017_6""}","{""ImportId"":""QID2017_7""}","{""ImportId"":""QID2017_8""}","{""ImportId"":""QID2019_NPS_GROUP""}","{""ImportId"":""QID2019""}","{""ImportId"":""QID2021_1""}","{""ImportId"":""QID2021_2""}","{""ImportId"":""QID2021_3""}","{""ImportId"":""QID2021_4""}",,,,,,,"{""ImportId"":""QID2005""}","{""ImportId"":""QID8_TEXT_98d09e12885144e18ddbbbc2ParTopics""}"
5,10/11/2020 16:02,10/11/2020 16:13,0,45.20.118.244,100,619,1,10/11/2020 16:13,R_2fwwrpVHzpeXEhf,,,,,29.5583953857421875,-98.74349976,qr,EN,1,2,2,4,4,Information Technology with Conc in Cyber Security,2,6,1,3,7,2,3,9,,,,,0.92,0.19,1,1,1,1,2,
5,10/11/2020 16:09,10/11/2020 16:13,0,208.38.248.76,100,216,1,10/11/2020 16:13,R_2bIeoc4fOEPUCL7,,,,,40.44439697265625,-86.92559814,anonymous,EN,1,2,1,2,1,Cybersec,6,6,2,7,0,7,3,10,,,,,0.82,0.78,1,1,0.31,0.87,2,
5,10/11/2020 16:03,10/11/2020 16:13,0,70.179.167.221,100,613,1,10/11/2020 16:13,R_1pSzRd3kuPpevtP,,,,,39.191802978515625,-96.58180237,qr,EN,1,2,1,2,3,Mathematics,3,3,1,3,,3,1,6,,,,,0.2,0.8,0.6,0.15,0.5,0.77,2,
5,10/11/2020 16:04,10/11/2020 16:14,0,107.77.197.115,100,620,1,10/11/2020 16:14,R_1LbNWOPF7ntaGkW,,,,,32.6587066650390625,-97.16169739,qr,EN,1,2,1,3,3,Computer Information Systems,4,4,1,1,7,5,3,10,,,,,0.82,1,0.7,0.64,0.72,1,2,
5,10/11/2020 16:04,10/11/2020 16:14,0,107.167.108.72,100,608,1,10/11/2020 16:14,R_22XJsbnF1BlsnSe,,,,,37.751007080078125,-97.8219986,qr,EN,1,2,1,3,4,Computer Science,7,3,2,7,7,3,3,9,,,,,1,1,1,1,0.82,0.69,2,
5,10/11/2020 16:04,10/11/2020 16:15,0,128.211.234.53,100,681,1,10/11/2020 16:15,R_3NURvQcLcJjIEbA,,,,,40.44439697265625,-86.92559814,anonymous,EN,1,2,1,1,1,Computer Science,7,5,2,4,0,7,2,7,,,,,0.7,0.4,0.5,0.7,0.7,0.6,2,
5,10/11/2020 16:03,10/11/2020 16:15,0,70.179.174.84,100,730,1,10/11/2020 16:15,R_1C8EhlqrMpO4nKK,,,,,39.191802978515625,-96.58180237,anonymous,EN,1,4,1,2,3,Computer Science (Cybersecurity Option),3,1,0,3,2,1,2,7,,,,,0.1,0.95,0.35,0.26,0.5,0.74,2,
5,10/11/2020 16:02,10/11/2020 16:17,0,129.119.235.5,100,852,1,10/11/2020 16:17,R_AGMebMp7KOrgJEt,,,,,32.82659912109375,-96.7888031,qr,EN,1,2,1,1,3,Computer Science,1,3,,2,,1,3,10,,,,,0.43,0.94,1,0.77,0.93,1,2,
5,10/11/2020 16:07,10/11/2020 16:17,0,73.160.222.170,100,613,1,10/11/2020 16:17,R_CfaxdxyhfSKZ5ER,,,,,39.884002685546875,-74.9720993,qr,EN,1,2,1,2,3,Computing and security technology,4,4,0,7,7,7,3,10,,,,,0.82,0.82,0.98,1,1,1,2,
5,10/11/2020 16:03,10/11/2020 16:17,0,129.244.136.31,100,837,1,10/11/2020 16:17,R_32VXKfTFM56vmCx,,,,,36.1493072509765625,-95.94989777,anonymous,EN,1,1,1,3,4,Masters in Cybersecurity,7,7,3,4,1,4,3,10,,,,,0.71,1,1,0.8,1,1,2,
