ResponseId,Q3,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q15,Q16,Q30,Q9 - Topics
R_1MWj7jiAlfzzZSq,"An unauthenticated, unencrypted API with dam operation values was discovered during the test. An attacker could potentially pull a MITM attack to falsify data and lead to infrastructure damage. Also, because there was no authentication, attackers could abuse API calls and perform a DOS attack.",I identified the problem by scanning the ip ranges provided in the scope and coming across the API. I then accessed the API to verfiy that it was unauthenticated and unencrypted.,I tested whether the host was live and whether the API was returning data.,None really other than accessing the API.,I did not because I do not have enough knowledge to accurately weigh the consequences.,"I am not too sure what this question is asking, but I just called the API.",The system was initially operational. ,We needed to perform reconnaissance then vulnerability assessment then exploitation then lateral movement before finally fully compromising the network with domain admin credentials. ,"We planned on using nmap, metasploit, powershell, and hash cracking utilities to perform the tasks.",We only used nmap and metasploit because we were not able to gain access.,2,Unknown
R_1Qob8dC2syGM1wv,"By guessing the default rocketchat admin account credentials, we were able to see the internal conversations going on between employees of NGPEW. This allowed us to capture some credentials that employees posted in the chat.","There were two main problems: Firstly the admin account of the rocket chat server should have been changed from the default, and no employee should be giving out their credentials on an insecure server like that.","Considering we gained access with minimal effort, we determined the systems to be insecure by human error.","We were able to: 1) log in as an administrator on the Windows domain controller, 2) extract all usernames and password hashes of any user on the windows domain, 3) move laterally to other systems on the network.",By how easy they were to execute and how much access/control we would gain from each.,Choosing the easiest path that yielded the most results,To have full access and control to all systems.,"OSINT, reconnaissance, and exploitation","Using tools such as Google, NMAP, WMAP, and Metaspliot.","We searched for vulnerabilities by looking at source code on webpages, using scripts to detect vulnerabilities, and enumerating exactly what is on each website. We then used that information to login to computers that we were not authorized to use, and ran exploits based on what versin certain softwares/OS's were running.",1,Unknown
R_YcaZaJgQCwouLvz,Our team was able to gain domain admin on a given machine,We identified a problem from the data we gathered from our scan results. We consulted google for more information as well. ,By considering what may be the most likely case ,"Document, exploit, or both",Collaboration between team-mates and information from online ,Considering our options and deciding on a feasible option,The target state was vulnerable with many severe vulnerabilities present,Presence of PLCs ,Research while conducting scans and tests,Collaboration and gathering information,1,Unknown
R_WwckMW0yu1MZDTb,,,,,,,,,,,,
R_1rDiBypFpfQpeqh,,,,,,,,,,,,
R_2iruDqPGVjrHR9T,,,,,,,,,,,,
R_21EUTxFtyPDHR9P,,,,,,,,,,,,
R_DSJcHExoGfOD6Zb,,,,,,,,,,,,
R_3m36TL4zTZh1egZ,,,,,,,,,,,,
R_2qdVwpYkBdCwSO1,,,,,,,,,,,,
R_31vhJQ5SBecDX5S,,,,,,,,,,,1,
R_2uq5UHhiWVxIbNl,,,,,,,,,,,1,
R_1BWpmwS6D7mcr3F,,,,,,,,,,,1,
R_2xyeXICvk3u9Uy8,Passwords being shared in Rocket Chat by employees of NGPEW,,,,,,,,,,1,
R_24oxQMQFyvFyeVK,"There was a server running a vulnerable bug tracking system susceptible to an off the shelf metasploit attack. I thought that the system may contain sensitive information, and I was correct.","Nmap and logging in to the web site informed me of the version of the software, and my research led me to find that was vulnerable.",When I ran the attack and was successful.,"brute forcing the password to log in, or utilizing a vulnerability to log in with a system account that may not be used by anyone for actual administration.",,,,,,,1,
R_Y96Sa9KjR0wmfBL,"presented with RocketChat. No gate on the registration. Easy to enter, with no employees questioning us, and gain access to cleartext credentials, including a domain admin at one point.","Well, I would say that it was maybe too easy overall. I know there are horrible environments out there but for a DA to put creds in a chat? ","Analysis of scans and all other recon. Then, gain access and further gather information",,,,,,,,1,
R_yI6BPIHUD0Z7EuR,The PLCs on the network were available for scanning,,,,,,,,,,1,
R_2rIzeE5716gkebD,The support ticket client that was out of date and vulnerable to a unathorised password reset,,,,,,,,,,1,
R_2XifzD9UkDVuWSo,The ability to access PLCs and run commands that could have devastating results. ,,,,,,,,,,1,
R_3DdbiFt4EUvFSxJ,"A Redis database was installed on one of the subbets. The default password ""password"" was not changed since the installation which allowed the team to log in to the system and extract sensitive data",When I encounter new technology first thing I do is look for default credentials,I installed a tool that communicates with the technology and tried to send default commands to determine the state,"I could have tried to read, write or delete data from the database",Using the cia triad impact on the business,I was thinking as an attacker,,,,,1,Unknown
R_1lp1k5iqRdqWfEl,"The overall security included some critical systems that appeared to be unstable. A few windows workstations were also on the network, and some web applications used for chatting and communicating.",,,,,,,,,,1,
R_2pRV2u7gac3zYQz,This question is pretty vague...MantisBT was out of date and vulnerable to password reset and RCE.,"We first scanned and found the open port.  It being on a common web port we opened the application in the browser.  It was obvious what the software was, MantisBT, and we then went searching for potential vulnerabilities and found some.  We were then able to execute them and obtain RCE and a reverse shell.  We further explored how the application stores sensitive data and investigated the source code since it was open source, as well as potential updates and how this situation might apply to NERC/CIP standards.","Beyond viewing the application in the browser, it wasn't immediately apparent what the version was.  The CVEs we found were recent, and the exploit code we found had some code that tested for the vulnerabilities.","The aforementioned exploit, and then eventually accessing the database and cracking passwords.","Thinking about the practical ramifications of our actions, and what real world effects they might have on people or the infrastructure.",We chose the one we thought was harmless and would gain us the most information and optimize our penetration level,,,,,1,Unknown
R_3khyXSTzodQFqId,,,,,,,,,,,1,
R_2VBGiOZtmB6QxGB,"Lack of authentication, poor password management, outdated legacy systems with terminally vulnerable software running",Outdated software was identified by the OS's that were running,Scans,Password attacks and exploiting known CVE's,Scanning and enumeration to see what is available. ,,,,,,1,
R_1i4iFcbcLELQwKE,Passwords being shared in rocketchat by employees,,,,,,,,,,1,
R_6Av2l5gqJ0cf13H,no,smh no comment,hmmm,nah,yeet,skirt,yuh,lil pump,pwn all the things,hack ur shit,1,Unknown
R_1OHv1JVNfO4tfcL,,,,,,,,,,,,
R_UnjCibtS5GmDp3H,,,,,,,,,,,1,
R_10w36FvHAFPwxM7,,,,,,,,,,,2,
R_Y3Q1hg1MnLnhdmx,,,,,,,,,,,3,
R_3iqayjDqEXapyNU,The windows machines and a remote desktop connection attack.,Attempting an known exploit on the scanned target,Is fingerprinted and known port use,Passwords and usernames harvested from another server,,Seemed like an opportunity to use another attack tyoe,,,,,1,Unknown
R_10qm3C7RuUJiXXI,A mySQL database with an open port,Using Nmap to identify the host and then metasploit and hydra to attempt to exploit it,Output from programs I run,I tried and metasploit module and hydra with stolen credentials,Whether I gained access or not,By whether it may help or not,Compromised but functional,Exploiting vulnerabilities.,Nmap scans to develop system awareness,"Use of Nmap, hydra, and metasploit ",2,Unknown
R_r2pZR9fXLPrOhK9,We encountered a web application that was susceptible to known vulnerabilities.  We were able to use the exploits to gain administrative access to the web application and eventually gain remote code execution which led to interactive shell access.,We observed that the version of the software was indeed vulnerable to exploits.  We interacted with the application both through command-line applications and through the web browser to identify potential remote code execution vectors.,Trial and error of different payloads eventually lead to us being able to determine the version of the software.,"We were able to use a bash payload which indicated that the system was a Unix host.  We could then arbitrarily execute commands, which enabled tcp-based shell access such as a reverse shell.",We determined that a reverse shell would be the best course of action as it would be most effective in letting us explore the system and pivot.,We chose the option which would have the most widely successful outcome.,Target state of the system was administrator access to the domain controller.,"Needed to plan how we would get credentials, how we would test credentials validity and permissions, how we would get interactive access on the machine after we had valid credentials.",Using a variety of tools to confirm credential validity and access to particular machines.,"First obtained credentials from a database, then used brute forcing tools to check their validity, then determined privilege users using smb enumeration tools, then attempted to gain remote access to the target system using those privileged credentials.",1,Unknown
R_2rAQ38WaZGdlcLG,,,,,,,,,,,1,Unknown
R_3sAiaPI7Anga4pj,We were able to guess the password for administrator ,I was testing hydra commands to find passwords pretty much the whole time,I knew that we shouldnt be able to get as far as we did and that’s bad,I don’t understand this question ,We found out that metasploit over powers the PLCs because of trial and error,I didn’t do much picking of options ,Safe,Password cracking ,Hydra commands,Hydra commands ,2,Unknown
R_8pqj5FGgBBxAT8l,Was able to pivot via web RCE and dump database credentials used on AD.,Problems were identified on a case by case basis. When we got into the mantis machine we assessed the business impact it had based on what it disclosed. Also relying on google.com ,By Using the kill chain and mitre attack framework,"Many options default credentials, chat logs, vulnerability scanning, web RCEs, lateral movement and more.",Yes we heavily do that and discuss that for the report,"Credential reuse and leaked passwords allowed pwning AD, access to critical infrastructure and more. Mainly the information in front of us.",Extremely dynamic the environment was,Determining what to do with the information found from the engagement.,"Attempting various attacks. E.g. attempting to use creds, trying other options",too many,1,Unknown
R_3kAKXoRpHRUE84u,Detection of outdated services,"Enumerated the services further, did some poking around to access it by default credentials etc. ",Based on researching about the public exploits,direct network interaction,"For potential higher impact actions, we requested permission from client","based on my research, I selected the attack with lowest complexity",Target state of the system was to provide a stable platform to execute the company's required tasks,I planned for outdated applications and incorrect configurations,Network enumeration,Exploited the system using lowest complexity attack,1,Unknown
R_2YldchHabUzCpmq,Outdated services,Enumerated everything we could find on the system,"Outdated service versions, and bad password policies indicated that the company did not have a very strong stance on cyber security","Since anonymous logins werent allowed with many services, we didnt have too many options to get in outside of the mantis bt service",We listed potential consequences of the vulnerabilities we found,,,Scanning all different possible entries of the network to look for vulnerabilities that could lead us to extract private information from the client.,,,1,
